01-01	Национальный день похмелья
12-08	День Русской песни
12-10	День сидения на окне
12-12	День меховой шапки
12-14	День обезьяны
12-16	День лохматых
12-17	День впадения медведя в спячку
12-19	День морозных узоров
12-27	День шиворот-навыворот
12-28	День северного оленя
12-28	День рождественского пряника
12-29	День пушистой елки
12-30	День ёлочных игрушек
12-31	День открывания Шампанского
12-31	День выпускания хлопушек на свободу
